Date,Illnesses
01/07/2011,31
01/08/2011,2
01/09/2011,42
01/09/2011,15
01/06/2011,27
01/07/2011,7
01/09/2011,5
01/07/2011,99
01/09/2011,12
01/09/2011,29
01/07/2011,6
01/09/2011,3
01/09/2011,8
01/09/2011,35
01/03/2011,2
01/01/2011,15
01/08/2011,16
01/01/2011,15
01/09/2011,37
01/02/2011,152
01/08/2011,7
01/09/2011,7
01/09/2011,4
01/09/2011,2
01/08/2011,3
01/09/2011,50
01/09/2011,3
01/09/2011,100
01/09/2011,7
01/09/2011,27
01/08/2011,7
01/08/2011,2
01/04/2011,12
01/06/2011,4
01/08/2011,4
01/09/2011,35
01/09/2011,3
01/06/2011,9
01/06/2011,35
01/08/2011,4
01/09/2011,49
01/09/2011,2
01/06/2011,3
01/09/2011,9
01/04/2011,17
01/09/2011,29
01/09/2011,6
01/08/2011,15
01/09/2011,4
01/08/2011,5
01/09/2011,4
01/09/2011,9
01/07/2011,4
01/07/2011,64
01/08/2011,8
01/09/2011,15
01/03/2011,5
01/05/2011,2
01/04/2011,3
01/07/2011,3
01/05/2011,2
01/09/2011,24
01/09/2011,2
01/08/2011,2
01/09/2011,5
01/09/2011,5
01/09/2011,2
01/09/2011,4
01/08/2011,7
01/09/2011,8
01/10/2011,48
01/09/2011,6
01/08/2011,2
01/07/2011,6
01/09/2011,8
01/07/2011,10
01/07/2011,4
01/03/2011,3
01/10/2011,12
01/08/2011,23
01/08/2011,8
01/09/2011,5
01/10/2011,5
01/10/2011,4
01/08/2011,48
01/09/2011,13
01/09/2011,68
01/10/2011,20
01/09/2011,3
01/09/2011,5
01/07/2011,38
01/09/2011,5
01/09/2011,16
01/10/2011,6
01/07/2011,8
01/10/2011,2
01/10/2011,2
01/08/2011,6
01/08/2011,7
01/09/2011,7
01/10/2011,9
01/09/2011,3
01/09/2011,12
01/10/2011,3
01/10/2011,11
01/10/2011,32
01/10/2011,7
01/08/2011,4
01/10/2011,2
01/10/2011,4
01/09/2011,13
01/10/2011,2
01/10/2011,8
01/04/2011,12
01/10/2011,12
01/09/2011,11
01/10/2011,14
01/11/2011,2
01/10/2011,60
01/03/2011,6
01/05/2011,3
01/05/2011,5
01/04/2011,3
01/03/2011,2
01/02/2011,4
01/09/2011,35
01/11/2011,101
01/07/2011,15
01/11/2011,10
01/05/2011,30
01/10/2011,3
01/10/2011,3
01/01/2011,13
01/01/2011,23
01/09/2011,3
01/10/2011,28
01/10/2011,5
01/11/2011,6
01/09/2011,7
01/11/2011,7
01/06/2011,3
01/10/2011,3
01/09/2011,6
01/07/2011,4
01/09/2011,4
01/10/2011,11
01/11/2011,19
01/10/2011,4
01/11/2011,7
01/11/2011,10
01/09/2011,3
01/09/2011,2
01/09/2011,32
01/10/2011,35
01/11/2011,3
01/10/2011,8
01/10/2011,7
01/10/2011,4
01/08/2011,3
01/11/2011,14
01/11/2011,2
01/11/2011,5
01/11/2011,2
01/11/2011,3
01/10/2011,6
01/07/2011,13
01/01/2011,24
01/11/2011,4
01/09/2011,15
01/09/2011,15
01/09/2011,6
01/11/2011,38
01/11/2011,12
01/11/2011,9
01/11/2011,9
01/05/2011,21
01/10/2011,3
